"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword banana should display the corresponding article","ERROR","2019-07-12T16:58:06.84+07:00[Asia/Bangkok]","0.0","1.87"
"Search by keyword story","Searching by keyword apple should display the corresponding article","ERROR","2019-07-12T16:58:10.087+07:00[Asia/Bangkok]","0.0","0.53"
